6.30143e+06	15.6563
0.821918	-11.7436	opening round
0.764706	-11.7438	treason
0.357143	-11.7439	marriage
0.780488	-11.7442	1,700
0.52809	-11.7443	trinidad
1	-11.7443	nuri al-maliki
0.980392	-11.7443	affiliated corporations
0.666667	-11.7444	swift
0.602941	-11.7444	to perform
0.375706	-11.7444	identify
0.980392	-11.7445	morgan stanley
0.412969	-11.7447	anderson
0.980392	-11.7447	abductions
0.980392	-11.7447	richard boucher
0.980392	-11.7448	fractured
0.297345	-11.7449	two- day
0.620155	-11.7449	locally
0.655172	-11.745	defense department
0.736264	-11.745	o'brien
0.34192	-11.745	owners
0.888889	-11.745	accomplish
0.980392	-11.745	mistaken
0.531073	-11.7452	disclose
0.980392	-11.7452	impending
0.980392	-11.7452	unharmed
0.821918	-11.7452	specifics
0.649573	-11.7452	links with
0.980392	-11.7453	neglect
0.731183	-11.7454	cluster
0.744444	-11.7455	700,000
0.402597	-11.7455	engine
0.516129	-11.7458	wine
0.477064	-11.7458	hopeful
0.479263	-11.7458	13th
0.70297	-11.7459	to regain
0.634146	-11.7461	tally
0.731183	-11.7462	put out
0.7875	-11.7464	architect
0.980392	-11.7465	rebuilt
0.980392	-11.7465	state warren christopher
0.980392	-11.7466	pig
0.852941	-11.7467	3.1 percent
0.794872	-11.7467	for his part
0.980392	-11.7467	disruptions
0.980392	-11.7467	unfairly
0.334081	-11.7468	usa
0.980392	-11.7468	compromised
0.587413	-11.7468	willingness to
0.929825	-11.7469	civil defense
0.852941	-11.7472	bucks
0.980392	-11.7472	seismic
0.821918	-11.7472	1956
0.685714	-11.7473	3,500
0.980392	-11.7474	electorate
0.929825	-11.7476	diplomatic efforts
0.52809	-11.7476	nz
0.591549	-11.7476	typhoon
0.875	-11.7476	zardari
0.764706	-11.7477	copies of
0.888889	-11.7479	this spring
0.243437	-11.7479	blast
0.198262	-11.748	1.
0.852941	-11.7481	administrators
0.875	-11.7481	discuss ways
0.764706	-11.7482	torres
0.568627	-11.7483	slain
0.980392	-11.7484	blackhawks
0.485714	-11.7484	color
0.387879	-11.7485	bear
0.901639	-11.7486	treasure
0.945455	-11.7487	challengers
0.382353	-11.7488	troop
0.777778	-11.7488	raped
0.410169	-11.7493	grain
0.980392	-11.7496	few hundred
0.597122	-11.7499	entry into
0.980392	-11.75	lamy
0.945455	-11.7501	entries
0.929825	-11.7503	serious condition
0.457627	-11.7503	6,000
0.513369	-11.7504	tournaments
0.980392	-11.7504	drawings
0.777778	-11.7504	comments from
0.980392	-11.7505	websites
0.980392	-11.7506	coveted
0.54491	-11.7506	credibility
0.457627	-11.7508	colombia 's
0.945455	-11.7513	vaccination
0.30566	-11.7514	rock
0.696078	-11.7514	makeshift
0.980392	-11.7518	reveals
0.852941	-11.7519	laser
0.980392	-11.7519	merchants
0.830986	-11.7519	anton
0.351621	-11.7521	junior
0.980392	-11.7523	terminals
0.901639	-11.7523	schmidt
0.962264	-11.7527	chat
0.962264	-11.7529	admiral
0.771084	-11.7532	boots
0.75	-11.7532	afc
0.44898	-11.7533	has yet
0.657895	-11.7534	nose
0.666667	-11.7538	mosul
0.447154	-11.7539	nasa
0.552795	-11.7539	the fate of
0.564935	-11.7539	eritrea
0.75	-11.754	wizards
0.755814	-11.7541	knesset
0.980392	-11.7543	time warner
0.777778	-11.7543	expressed hope
0.980392	-11.7544	ivanovic
0.980392	-11.7545	8.4
0.741573	-11.7546	endorse
0.802632	-11.7547	physician
0.915254	-11.7548	villepin
0.9	-11.7549	192
0.375358	-11.7549	difference
0.830986	-11.7549	boyfriend
0.980392	-11.755	167
0.794872	-11.7551	friday evening
0.929825	-11.7552	valentine
0.980392	-11.7552	owes
0.364865	-11.7552	u.s. troops
0.453782	-11.7552	messages
0.552795	-11.7553	marseille
0.741573	-11.7553	recruited
0.43346	-11.7555	opposed to
0.341232	-11.7557	ships
0.945455	-11.7558	endangered species
0.980392	-11.7558	complement
0.980392	-11.7559	diary
0.657895	-11.7559	volatility
0.9	-11.7563	poorest countries
0.450413	-11.7564	kerry
0.771084	-11.7566	fla.
0.461207	-11.7566	crops
0.962264	-11.7567	anchor
0.685714	-11.7567	top - seeded
0.980392	-11.7569	portions
0.715789	-11.757	jamie
0.510638	-11.757	hostile
0.636364	-11.7571	total number
0.980392	-11.7572	outpost
0.875	-11.7572	classical
0.388379	-11.7573	abandoned
0.980392	-11.7573	housed
0.802632	-11.7574	tourism industry
0.962264	-11.7574	camp david
0.736264	-11.7576	united front
0.84058	-11.7577	to confront
0.9	-11.7579	ss
0.320755	-11.758	medicine
0.478873	-11.758	cement
0.887097	-11.7581	unconditional
0.629032	-11.7582	new constitution
0.7	-11.7585	squads
0.9	-11.7587	semis
0.704082	-11.7588	holbrooke
0.39185	-11.7589	engineering
0.237658	-11.7589	music
0.980392	-11.759	monde
0.945455	-11.7594	an exclusive
0.980392	-11.7596	gay marriage
0.913793	-11.7597	jockey
0.802632	-11.7599	lorenzo
0.669725	-11.7599	guangxi
0.267054	-11.76	to become
0.980392	-11.7601	operative
0.84058	-11.7602	bitterly
0.462882	-11.7603	halted
0.980392	-11.7603	consciousness
0.761905	-11.7603	24th
0.2475	-11.7603	fighters
0.636364	-11.7604	750
0.945455	-11.7604	radio stations
0.660714	-11.7606	farewell
0.583333	-11.7609	profitable
0.810811	-11.7609	luo
0.487805	-11.7609	models
0.206626	-11.7609	ireland
0.78481	-11.7611	indonesians
0.35369	-11.7611	restrictions
0.980392	-11.7612	navarro
0.810811	-11.7613	convoys
0.980392	-11.7615	islamic extremists
0.368421	-11.7615	naval
0.419355	-11.7615	letters
0.341289	-11.7616	controls
0.470588	-11.7618	pole
0.913793	-11.7621	death row
0.455319	-11.7624	artillery
0.574324	-11.7624	coordinated
0.980392	-11.7624	sunk
0.588652	-11.7624	grip
0.244798	-11.7624	norway
0.431298	-11.7625	wilson
0.321353	-11.7626	races
0.887097	-11.7627	buyout
0.296763	-11.7628	marks
0.913793	-11.7629	cisco
0.887097	-11.7629	pass through
0.887097	-11.7629	ram
0.522472	-11.763	moral
0.741573	-11.7631	ldp
0.624	-11.7631	format
0.227754	-11.7636	candidates
0.333333	-11.7636	war ii
0.944444	-11.7638	mtv
0.913793	-11.764	antigua
0.961538	-11.7642	consultants
1	-11.7645	ari fleischer
1	-11.7645	sao tome
1	-11.7645	alter
1	-11.7645	recess
0.961538	-11.7645	encountered
0.802632	-11.7646	rao
0.612403	-11.765	would likely
0.98	-11.7651	addicts
0.672897	-11.7652	last saturday
0.761905	-11.7654	eu membership
0.9	-11.7656	152
0.961538	-11.7656	air raids
0.98	-11.7657	confronting
0.98	-11.766	fortified
0.819444	-11.7661	egyptians
0.646552	-11.7662	documentary
0.9	-11.7666	jimenez
0.72043	-11.7666	mongolian
0.98	-11.7667	headway
0.98	-11.7669	bleak
0.98	-11.7669	wipe out
0.98	-11.7669	spies
0.873016	-11.767	mvp
0.873016	-11.767	latest developments
0.98	-11.767	eroded
0.828571	-11.7671	rallying
0.98	-11.7671	dismissing
0.961538	-11.7671	usoc
0.98	-11.7672	fia
0.861538	-11.7672	religious leaders
0.528736	-11.7674	his brother
0.98	-11.7674	motions
0.19516	-11.7674	senate
0.98	-11.7675	seals
0.9	-11.7677	not immediately known
0.98	-11.7677	residency
0.98	-11.7677	atletico madrid
0.768293	-11.7678	defense attorney
0.810811	-11.7679	blue chip
0.944444	-11.768	busan
0.98	-11.768	beck
0.828571	-11.7683	remnants of
0.98	-11.7684	sustaining
0.944444	-11.7685	195
0.546012	-11.7685	dam
0.98	-11.7687	faulty
0.98	-11.7687	161
0.733333	-11.7689	country club
0.98	-11.7689	vocational
0.761905	-11.769	were evacuated
0.768293	-11.7692	at halftime
0.654867	-11.7693	health officials
0.693069	-11.7693	item
0.715789	-11.7695	hunan
0.98	-11.7695	shalom
0.242169	-11.7695	yugoslavia
0.497436	-11.7697	coalition government
0.98	-11.7698	overcrowded
0.446721	-11.7698	roberto
0.357895	-11.7699	is likely
0.472477	-11.77	destroy
0.961538	-11.77	auto parts
0.98	-11.7701	paramilitaries
0.752941	-11.7703	sprawling
0.474419	-11.7704	bullets
0.928571	-11.7704	daewoo
0.98	-11.7708	siberia
0.78481	-11.7708	young men
0.8	-11.7708	winter olympics
0.319328	-11.7709	polish
0.873016	-11.7711	permanent members
0.589928	-11.7712	athlete
0.775	-11.7712	definition
0.98	-11.7714	ibf
0.8	-11.7714	made clear
0.961538	-11.7717	doomed
0.619048	-11.7719	broker
0.519553	-11.7721	dates
0.819444	-11.7721	bury
0.738636	-11.7721	scared
0.98	-11.7723	wwf
0.492462	-11.7724	clearing
0.456897	-11.7726	michel
0.738636	-11.7726	primaries
0.98	-11.7728	morrison
0.525714	-11.7729	terry
0.435294	-11.7729	fail
0.98	-11.773	shaw
0.98	-11.7731	191
0.388199	-11.7735	jr.
0.98	-11.7736	bypass
0.733333	-11.7737	influenced
0.98	-11.7737	uproar
0.98	-11.7739	portrayed
0.430769	-11.7743	juventus
0.98	-11.7743	skaters
0.98	-11.7743	detailing
0.607692	-11.7744	watson
0.69697	-11.7744	called off
0.961538	-11.7746	middle eastern
0.663636	-11.7746	lim
0.562092	-11.7747	adult
0.322581	-11.7748	lift
0.193949	-11.775	to play
0.98	-11.7751	males
0.98	-11.7751	hepatitis
0.98	-11.7751	displaying
0.733333	-11.7754	supermarket
0.98	-11.7754	annapolis
0.649123	-11.7754	swap
0.913793	-11.7755	hezbollah guerrillas
0.944444	-11.7755	grammy
0.712766	-11.7755	uncle
0.238543	-11.7756	where he
0.52907	-11.7756	consortium
0.752941	-11.7758	bo
0.98	-11.7758	duel
0.98	-11.7761	exiles
0.126873	-11.7765	reports
0.666667	-11.7767	cho
0.519553	-11.7767	searched
0.808219	-11.7767	licensing
0.546584	-11.777	achievement
0.314815	-11.777	, citing
0.885246	-11.7771	ruth
0.240674	-11.7775	warning
0.944444	-11.7776	an unnamed
0.98	-11.7777	157
0.898305	-11.7777	precision
0.828571	-11.7778	allege
0.792208	-11.7779	devoted to
0.861538	-11.7779	regulator
0.98	-11.778	harming
0.270106	-11.778	driving
0.458515	-11.7781	maritime
0.98	-11.7781	assurance
0.314815	-11.7783	heat
0.433594	-11.7785	illinois
0.406897	-11.7789	marines
0.641026	-11.779	assisted
0.492462	-11.7792	two- time
0.519774	-11.7794	wireless
0.98	-11.7794	curbs
0.345771	-11.7797	- kilometer
0.246835	-11.7797	400
0.291005	-11.7798	irish
0.828571	-11.7799	espanyol
0.505319	-11.78	argument
0.98	-11.7801	inspector general
0.98	-11.7805	737
0.912281	-11.7806	trauma
0.98	-11.7807	defence ministry
0.759036	-11.7808	garment
0.744186	-11.781	identities
0.641026	-11.781	bankers
0.838235	-11.7814	prosecutors say
0.649123	-11.7814	ask for
0.98	-11.7815	lightweight
0.701031	-11.782	almost all
0.98	-11.7821	1941
0.744186	-11.7822	freddie
0.591241	-11.7822	will leave
0.447699	-11.7822	prevented
0.98	-11.7823	suarez
0.789474	-11.7827	negotiating with
0.98	-11.7828	missionary
0.643478	-11.7829	backup
0.98	-11.7831	bjp
0.765432	-11.7832	hardware
0.744186	-11.7834	legal action
0.943396	-11.7834	suffers from
0.98	-11.7834	meng
0.558442	-11.7835	medicines
0.437751	-11.7838	karachi
0.927273	-11.7839	woodward
0.614173	-11.784	violate
0.585714	-11.7841	marcos
0.288696	-11.7843	bought
0.292857	-11.7844	s.
0.912281	-11.7844	broncos
1	-11.7851	infighting
1	-11.7851	goran ivanisevic
1	-11.7851	feuding
1	-11.7851	ricky ponting
0.789474	-11.7852	ballistic missile
0.725275	-11.7852	to clarify
0.597015	-11.7852	monitored
0.979592	-11.7852	credit suisse
0.526012	-11.7853	suggests
0.979592	-11.7855	virginia tech
0.943396	-11.7856	sideline
0.651786	-11.7856	incomes
0.885246	-11.7857	central command
0.927273	-11.7857	shoe
0.979592	-11.7857	protections
0.280328	-11.7862	holiday
0.979592	-11.7862	assumption
0.228415	-11.7863	, especially
0.979592	-11.7863	unrealistic
0.943396	-11.7864	builds
0.765432	-11.7864	bulk of
0.979592	-11.7864	closures
0.979592	-11.7864	censure
0.69	-11.7865	asking for
0.808219	-11.7865	toughest
0.342298	-11.7866	earth
0.417582	-11.7867	negotiations with
0.669811	-11.7868	doug
0.848485	-11.7868	derailed
0.979592	-11.7868	batters
0.943396	-11.7869	heavily armed
0.898305	-11.7869	too far
0.356383	-11.7869	apec
0.979592	-11.787	prohibit
0.979592	-11.7872	streamline
0.979592	-11.7872	la hoya
0.960784	-11.7873	revered
0.979592	-11.7873	emergence
0.979592	-11.7873	sanction
0.979592	-11.7874	onslaught
0.979592	-11.7875	raw material
0.826087	-11.7876	gunners
0.979592	-11.7876	cushion
0.912281	-11.7877	plunged into
0.912281	-11.7878	emir
0.979592	-11.7878	playmaker
0.451064	-11.7879	perez
0.826087	-11.788	cross - country
0.960784	-11.788	angelo
0.927273	-11.788	rescheduled
0.979592	-11.788	abilities
0.808219	-11.788	transitional government
0.885246	-11.7881	expose
0.305284	-11.7882	darfur
0.979592	-11.7883	spiral
0.979592	-11.7883	poisoned
0.979592	-11.7885	goosen
0.979592	-11.7885	defamation
0.651786	-11.7885	bahamas
0.943396	-11.7887	qurei
0.927273	-11.7887	wb
0.979592	-11.7887	plenary session
0.532934	-11.7889	headlines
0.229327	-11.7889	nov.
0.848485	-11.7891	moreno
0.816901	-11.7891	thoroughly
0.808219	-11.7892	put off
0.609375	-11.7897	siemens
0.979592	-11.7898	awaits
0.630252	-11.7898	racist
0.772152	-11.7899	tag
0.943396	-11.79	swiss franc
0.338983	-11.79	quick
0.979592	-11.7902	drastically
0.979592	-11.7902	memorial service
0.603053	-11.7902	sorenstam
0.510989	-11.7903	after winning
0.701031	-11.7904	21 -year-old
0.603053	-11.7904	railways
0.431373	-11.7906	to fly
0.979592	-11.7906	dividing
0.497382	-11.7907	zambian
0.979592	-11.7907	smell
0.489899	-11.791	carbon
0.66055	-11.7911	to demonstrate
0.979592	-11.7911	dusty
0.912281	-11.7912	concerts
0.943396	-11.7913	chaudhry
0.912281	-11.7913	earns
0.979592	-11.7913	seriousness
0.808219	-11.7913	4.9
0.960784	-11.7915	ethiopians
0.577465	-11.7916	smashed
0.979592	-11.7916	canucks
0.979592	-11.7916	cake
0.960784	-11.7918	fallout from
0.979592	-11.7918	burgeoning
0.744186	-11.7919	schemes
0.669811	-11.792	incoming
0.979592	-11.792	cite
0.722222	-11.7921	contents
0.943396	-11.7922	disaster relief
0.979592	-11.7925	preserving
0.979592	-11.7926	deregulation
0.765432	-11.7928	best known
0.979592	-11.7928	fatigue
0.979592	-11.7928	140,000
0.979592	-11.7929	underdog
0.730337	-11.7929	stands at
0.826087	-11.7932	misconduct
0.508197	-11.7933	closed down
0.979592	-11.7933	assessed
0.0779453	-11.7933	chinese
0.835821	-11.7934	defied
0.646018	-11.794	contenders
0.429688	-11.7941	reputation
0.348718	-11.7948	tested
0.407018	-11.795	ceo
0.420074	-11.7951	portion of
0.215976	-11.7954	murder
0.593985	-11.7955	three hours
0.870968	-11.7956	horror
0.979592	-11.7956	undertaking
0.979592	-11.7956	polo
0.617886	-11.7957	wheel
0.927273	-11.7957	capital punishment
0.622951	-11.7958	colonel
0.573427	-11.7958	giuliani
0.927273	-11.7959	ms
0.797297	-11.7959	banker
0.779221	-11.796	mourinho
0.979592	-11.7962	shrink
0.260807	-11.7963	kill
0.835821	-11.7963	not necessarily
0.533333	-11.7964	incentives
0.979592	-11.7964	injunction
0.896552	-11.7965	rapper
0.207461	-11.7965	football
0.979592	-11.7966	field hockey
0.492308	-11.7967	drama
0.253388	-11.7969	airline
0.277778	-11.797	art
0.625	-11.7972	depending on
0.979592	-11.7972	suzhou
0.979592	-11.7972	armor
0.568493	-11.7974	dissidents
0.487437	-11.7974	here tuesday
0.797297	-11.7975	tamil rebels
0.450644	-11.7976	oklahoma
0.106902	-11.7976	russian
0.735632	-11.7978	kunming
0.348837	-11.7978	shareholders
0.611111	-11.798	bomb attack
0.846154	-11.7983	dynamo
0.448718	-11.7983	neighbor
0.896552	-11.7983	sink
0.686869	-11.7983	steep
0.517045	-11.7983	survive
0.979592	-11.7984	buoyed by
0.646018	-11.7984	created by
0.339853	-11.7988	fifa
0.413043	-11.799	extremists
0.979592	-11.799	seated
0.533333	-11.7993	atomic energy
0.805556	-11.7995	saturday afternoon
0.213733	-11.7995	taipei
0.340741	-11.7995	urges
0.943396	-11.7996	poverty reduction
0.910714	-11.7998	municipal elections
0.705263	-11.7999	1969
0.425287	-11.7999	tea
0.979592	-11.7999	artifacts
0.943396	-11.8	performer
0.979592	-11.8001	lpga tour
0.304519	-11.8001	iraqis
0.979592	-11.8002	merged
0.870968	-11.8003	all ordinaries
0.437247	-11.8003	declare
0.307229	-11.8003	struggle
0.979592	-11.8003	brush
0.697917	-11.8004	dell
0.568493	-11.8004	lights
0.705263	-11.8004	surgeon
0.870968	-11.8009	gulf coast
0.727273	-11.8009	statehood
0.666667	-11.8009	freezing
0.115745	-11.8009	8
0.357923	-11.8011	committed to
0.7625	-11.8015	looked at
0.648649	-11.8015	hatred
0.979592	-11.8019	venice
0.979592	-11.8019	state councilor
0.485	-11.8021	chaos
0.814286	-11.8022	demolished
0.979592	-11.8024	carpenter
0.870968	-11.8025	sheng
0.508287	-11.8025	cult
0.443515	-11.8025	thousands of people
0.786667	-11.8026	nuclear test
0.395349	-11.8028	hk dollars
0.697917	-11.8029	-year-old son
0.265766	-11.803	lines
0.835821	-11.8031	which owns
0.722222	-11.8036	daily telegraph
0.910714	-11.8036	dams
0.797297	-11.8037	tajik
0.896552	-11.8039	labs
0.593985	-11.8039	wfp
0.910714	-11.8039	convicts
0.26087	-11.804	words
0.523529	-11.8041	is considering
0.6	-11.8042	ideal
0.433735	-11.8044	santos
0.979592	-11.8046	203
0.835821	-11.8047	went through
0.548387	-11.8048	workshop
0.3769	-11.8052	to kill
0.619835	-11.8052	mini
0.455752	-11.8053	nuclear power
0.883333	-11.8054	nonprofit
0.896552	-11.8054	willie
0.779221	-11.8055	will arrive
0.59542	-11.8055	meantime
0.96	-11.8055	premier li peng
0.520231	-11.8056	maintains
0.979592	-11.8057	slap
0.979592	-11.8057	ebola
0.786667	-11.8058	at wimbledon
0.883333	-11.8058	knives
0.96	-11.8058	castillo
0.166372	-11.8058	victims
0.666667	-11.8059	chemical weapons
0.533333	-11.8059	unicef
1	-11.8061	unforced errors
1	-11.8061	anti- semitism
1	-11.8061	crippled
1	-11.8061	shinzo abe
1	-11.8061	sam rainsy
0.569444	-11.8062	very much
0.686869	-11.8062	furniture
0.979167	-11.8064	favoring
0.979167	-11.8065	keegan
0.96	-11.8066	central bank governor
0.979167	-11.807	announcements
0.400685	-11.807	villa
0.714286	-11.8071	protective
0.979167	-11.8072	caspian sea
0.244558	-11.8072	demands
0.110965	-11.8072	/
0.709677	-11.8074	look forward
0.786667	-11.8075	systematic
0.746988	-11.8075	took control
0.96	-11.8075	bottom line
0.412409	-11.8075	rape
0.979167	-11.8078	sufficiently
0.846154	-11.8078	chinese vice premier
0.540881	-11.808	senior official
0.979167	-11.8081	aleman
0.331765	-11.8081	vietnamese
0.835821	-11.8081	tracked
0.526627	-11.8082	osaka
0.979167	-11.8083	sensation
0.979167	-11.8083	privileges
0.979167	-11.8083	paceman
0.814286	-11.8083	input
0.676471	-11.8084	provider
0.835821	-11.8085	2.9 percent
0.979167	-11.8086	diminished
0.130896	-11.8089	vote
0.979167	-11.809	bouts
0.298479	-11.809	abuse
0.690722	-11.809	two dozen
0.331765	-11.809	fox
0.583942	-11.8091	volcano
0.779221	-11.8092	taking office
0.619835	-11.8092	back home
0.410072	-11.8093	arriving
0.979167	-11.8094	leaks
0.979167	-11.8094	750,000
0.846154	-11.8094	all kinds
0.823529	-11.8095	regrets
0.642857	-11.8095	assigned to
0.68	-11.8098	connections
0.979167	-11.8099	infectious diseases
0.979167	-11.8099	imbalance
0.823529	-11.81	greeks
0.805556	-11.8102	aol
0.979167	-11.8103	de silva
0.390164	-11.8103	substantial
0.423077	-11.8103	lakers
0.979167	-11.8104	crumbling
0.979167	-11.8104	leaflets
0.307071	-11.8104	funding
0.979167	-11.8105	scholarship
0.5	-11.8105	shelter
0.979167	-11.8106	recommends
0.494737	-11.8106	barriers
0.343434	-11.8107	rio
0.779221	-11.8109	an exhibition
0.910714	-11.8109	cast ballots
0.779221	-11.811	16,000
0.608	-11.811	25 -year-old
0.608	-11.8111	zagreb
0.53012	-11.8115	pct
0.979167	-11.8115	1955
0.979167	-11.8115	contagious
0.511236	-11.8115	postal
0.352	-11.8116	supports
0.634783	-11.8117	overwhelmingly
0.979167	-11.8118	demise
0.979167	-11.8118	autos
0.805556	-11.8118	joseph estrada
0.20983	-11.8121	crime
0.979167	-11.8122	bye
0.505495	-11.8123	interference
0.979167	-11.8125	jacksonville
0.979167	-11.8125	arbitrary
0.979167	-11.8125	outfielder
0.548387	-11.8125	exposure
0.492147	-11.8125	7,000
0.979167	-11.8126	attendants
0.979167	-11.8127	halls
0.96	-11.8127	ng
0.651376	-11.8129	intimidation
0.979167	-11.813	harmonious
0.979167	-11.813	softening
0.634783	-11.813	roster
0.746988	-11.813	bound for
0.68	-11.8131	bones
0.786667	-11.8132	16 -year-old
0.979167	-11.8132	211
0.565517	-11.8134	police say
0.979167	-11.8135	strongman
0.868852	-11.8135	soccer federation
0.544872	-11.8136	featured
0.256738	-11.8138	- meter
0.868852	-11.8141	north africa
0.868852	-11.8142	defense lawyer
0.151054	-11.8142	indian
0.979167	-11.8143	confrontations
0.979167	-11.8143	eaten
0.714286	-11.8143	argue that
0.881356	-11.8143	- shaped
0.408602	-11.8144	he did n't
0.979167	-11.8148	owens
0.7625	-11.8149	fourth place
0.979167	-11.8149	tables
0.732558	-11.815	accountable
0.857143	-11.8151	ortiz
0.823529	-11.8151	robbers
0.570423	-11.8151	deemed
0.5375	-11.8151	stopping
0.732558	-11.8155	advocacy
0.910714	-11.8155	corpses
0.979167	-11.8157	human trafficking
0.979167	-11.8159	inevitably
0.942308	-11.8159	gillespie
0.173715	-11.8159	ban
0.753086	-11.816	to defuse
0.387097	-11.816	world champion
0.333333	-11.8161	magazine
0.469194	-11.8161	103
0.979167	-11.8163	surprises
0.979167	-11.8164	circulating
0.544872	-11.8164	rank
0.802817	-11.8166	two sets
0.514286	-11.8167	crowds
0.979167	-11.8169	advertisements
0.96	-11.817	security arrangements
0.868852	-11.8171	west africa
0.358333	-11.8173	users
0.979167	-11.8174	quakes
0.776316	-11.8174	transplant
0.979167	-11.8176	kingston
0.925926	-11.8176	overshadowed by
0.439331	-11.8177	just one
0.305221	-11.8177	cargo
0.979167	-11.8178	vigil
0.979167	-11.818	biotechnology
0.494681	-11.818	crews
0.979167	-11.8181	cis
0.979167	-11.8182	baseless
0.384615	-11.8183	canada 's
0.39527	-11.8185	4,000
0.601562	-11.8185	10 minutes
0.5375	-11.8185	bag
0.96	-11.8186	haifa
0.942308	-11.8186	undecided
0.881356	-11.8187	kung
0.210526	-11.8187	million dollars
0.823529	-11.8188	tips
0.706522	-11.8188	tsai
0.48	-11.8189	farming
0.738095	-11.8189	reign
0.57554	-11.8191	eventual
0.979167	-11.8192	sneak
0.979167	-11.8192	stir
0.823529	-11.8192	sahara
0.96	-11.8192	heinz
0.979167	-11.8196	9.7
0.738095	-11.8196	general strike
0.477833	-11.8196	campbell
0.979167	-11.82	lo
0.473171	-11.82	an open
0.719101	-11.8202	excuse
0.544872	-11.8202	informal
0.96	-11.8203	ineffective
0.979167	-11.8205	rubber bullets
0.530488	-11.8206	seas
0.823529	-11.8207	wisdom
0.375	-11.8207	georgian
0.181818	-11.8209	reform
0.494681	-11.8212	bulls
0.868852	-11.8213	northern uganda
0.909091	-11.8213	- ul
0.979167	-11.8214	roses
0.586466	-11.8214	bp
0.250681	-11.8216	love
0.400697	-11.8217	ramos
0.909091	-11.8219	2,200
0.868852	-11.822	exceeds
0.41573	-11.822	simpson
0.894737	-11.8221	handed down
0.264438	-11.8221	150
0.724138	-11.8222	gil
0.909091	-11.8222	edges
0.802817	-11.8222	north china 's
0.738095	-11.8223	brooks
0.571429	-11.8223	took office
0.537975	-11.8224	library
0.418251	-11.8225	succeed
0.399306	-11.8226	fan
0.979167	-11.823	viktor yushchenko
0.868852	-11.8231	7.1
0.833333	-11.8232	u.s. marines
0.776316	-11.8233	psychiatric
0.738095	-11.8236	colors
0.204155	-11.8239	rain
0.783784	-11.8239	outer
0.706522	-11.8242	hispanic
0.218653	-11.8243	bus
0.683673	-11.8243	commenting on
0.732558	-11.8243	200m
0.428	-11.8243	burns
0.673267	-11.8244	0.9 percent
0.341772	-11.8245	failing to
0.759494	-11.8246	chechens
0.683673	-11.8247	very strong
0.776316	-11.8247	east coast
0.979167	-11.8252	gambari
0.783784	-11.8253	panathinaikos
0.833333	-11.8255	net loss
0.924528	-11.8256	worshippers
0.979167	-11.8257	road accidents
0.215587	-11.8257	seek
0.208294	-11.8257	data
0.694737	-11.8258	orchestra
0.405018	-11.8261	shell
0.534161	-11.8263	allegations that
0.254597	-11.8264	to fight
0.941176	-11.8266	sentiments
0.487047	-11.8267	to adopt
0.924528	-11.8268	exodus
0.759494	-11.8268	waging
0.894737	-11.8271	arms control
0.979167	-11.8272	misuse
0.494681	-11.8272	hamburg
0.616667	-11.8274	dealer
0.530864	-11.8274	offset
0.242619	-11.8275	5.
1	-11.8276	tang jiaxuan
1	-11.8276	twenty20
1	-11.8276	gatherings
1	-11.8276	sri lankans
1	-11.8276	nominate
0.706522	-11.8278	one minute
0.317181	-11.8279	increases
0.978723	-11.8279	accommodation
0.484536	-11.8283	advancing
0.924528	-11.8283	ill.
0.978723	-11.8283	abdullah ahmad
0.978723	-11.8283	congressmen
0.978723	-11.8283	basement
0.941176	-11.8283	sealed off
0.359773	-11.8284	thinking
0.440678	-11.8284	favored
0.645455	-11.8285	unfortunate
0.978723	-11.8286	jericho
0.941176	-11.8287	fbi agents
0.978723	-11.8288	one- sided
0.342711	-11.829	paying
0.924528	-11.829	tv station
0.978723	-11.829	prominence
0.978723	-11.829	liner
0.676768	-11.829	intercepted
0.941176	-11.8291	department store
0.978723	-11.8293	ours
0.959184	-11.8294	translation
0.881356	-11.8294	in anticipation
0.881356	-11.8294	air strike
0.820896	-11.8295	yunnan province
0.313305	-11.8297	republicans
0.866667	-11.8299	operatives
0.978723	-11.8301	champions trophy
0.729412	-11.8302	urgency
0.450893	-11.8302	horse
0.978723	-11.8303	chicago white sox
0.743902	-11.8303	offenders
0.978723	-11.8304	invading
0.894737	-11.8304	treaty organization
0.609756	-11.8305	copa
0.84375	-11.8305	partly because
0.978723	-11.8305	dedication
0.959184	-11.8306	dpr
0.978723	-11.8306	traffic accidents
0.783784	-11.8306	mismanagement
0.978723	-11.8309	beneficiaries
0.698925	-11.8309	each day
0.729412	-11.8309	adverse
0.6875	-11.831	146
0.978723	-11.831	correctly
0.978723	-11.8311	380
0.978723	-11.8314	bubble
0.959184	-11.8315	large amounts
0.978723	-11.8315	infants
0.729412	-11.8315	1.1 percent
0.494624	-11.8316	xinjiang
0.959184	-11.8318	abundant
0.978723	-11.8318	commanded
0.978723	-11.8318	diouf
0.894737	-11.8319	sin
0.546053	-11.8319	belt
0.666667	-11.832	announced plans
0.724138	-11.832	which makes
0.909091	-11.832	nantes
0.978723	-11.8321	improves
0.978723	-11.8322	importantly
0.978723	-11.8326	poaching
0.466667	-11.8326	more time
0.397924	-11.8328	i know
0.477387	-11.8329	hearings
0.364431	-11.8332	buried
0.978723	-11.8334	goats
0.978723	-11.8339	exit polls
0.116597	-11.8339	fire
0.508571	-11.8339	told him
0.978723	-11.834	violently
0.462264	-11.834	rush
0.604839	-11.8341	share prices closed
